ride_id,user_id,driver_id,vehicle_id,start_location,end_location,start_date,start_hour,end_date,end_hour,distance_km,fare_amount
15523,8255,222,149,Fes (FEZ),Saiss district,2024-01-27,9,2024-01-27,9,5.76,27.16
15524,8850,151,37,Fes (FEZ),Batha,2024-05-14,18,2024-05-14,18,19.08,73.78
15525,5588,25,226,Casablanca (CMN),Mohammedia,2024-04-15,19,2024-04-15,20,34.56,127.96
15526,5244,183,82,Casablanca (CMN),Bouskoura,2024-02-22,23,2024-02-22,23,17.08,66.78
15527,8505,96,74,Marrakech (RAK),Targa,2024-03-26,17,2024-03-26,17,9.0,38.5
15528,865,122,208,Rabat-Salé (RBA),Salé Center,2024-05-11,5,2024-05-11,6,10.67,44.34
15529,6262,147,174,Marrakech (RAK),Medina,2024-08-07,17,2024-08-07,17,4.9,24.15
15530,8422,22,48,Fes (FEZ),Ville Nouvelle,2024-01-24,23,2024-01-25,0,12.44,50.54
15531,4731,186,188,Marrakech (RAK),Gueliz,2024-07-08,15,2024-07-08,16,6.28,28.98
15532,3403,217,69,Casablanca (CMN),Maarif,2024-01-17,16,2024-01-17,16,24.0,91.0
15533,153,281,210,Dakhla (VIL),Port Dakhla,2024-04-20,3,2024-04-20,3,9.75,41.12
15534,9213,137,85,Marrakech (RAK),Palmeraie,2024-08-10,1,2024-08-10,2,14.95,59.32
15535,7220,24,37,Fes (FEZ),Ville Nouvelle,2024-03-18,19,2024-03-18,19,15.28,60.48
15536,7179,226,66,Rabat-Salé (RBA),Agdal,2024-05-05,3,2024-05-05,3,16.13,63.46
15537,7929,202,80,Agadir (AGA),Inezgane,2024-02-04,13,2024-02-04,14,21.39,81.87
15538,1322,31,138,Casablanca (CMN),Maarif,2024-08-29,6,2024-08-29,6,21.02,80.57
15539,9,63,274,Marrakech (RAK),Medina,2024-09-28,20,2024-09-28,20,4.28,21.98
15540,7901,41,228,Fes (FEZ),Ville Nouvelle,2024-04-03,12,2024-04-03,13,14.0,56.0
15541,5736,151,37,Agadir (AGA),Taghazout,2024-03-05,13,2024-03-05,14,47.69,173.92
15542,6803,130,127,Nador (NDR),Beni Ensar,2024-03-30,4,2024-03-30,4,25.69,96.92
15543,8105,177,95,Agadir (AGA),Taghazout,2024-03-24,1,2024-03-24,2,37.08,136.78
15544,8513,238,132,Fes (FEZ),Ville Nouvelle,2024-08-27,8,2024-08-27,8,14.3,57.05
15545,6955,47,292,Fes (FEZ),Batha,2024-08-01,11,2024-08-01,12,16.49,64.72
15546,1669,116,45,Rabat-Salé (RBA),Salé Center,2024-09-16,20,2024-09-16,20,8.26,35.91
15547,9985,51,207,Laayoune (EUN),Foum El Oued,2024-10-01,22,2024-10-01,23,22.67,86.34
15548,2055,282,121,Agadir (AGA),Taghazout,2024-08-07,9,2024-08-07,10,41.02,150.57
15549,4414,34,167,Rabat-Salé (RBA),Agdal,2024-09-04,23,2024-09-04,23,17.73,69.06
15550,8519,123,39,Casablanca (CMN),Anfa,2024-05-15,12,2024-05-15,12,31.51,117.29
15551,1452,202,80,Marrakech (RAK),Gueliz,2024-10-02,20,2024-10-02,20,6.74,30.59
15552,117,138,235,Marrakech (RAK),Gueliz,2024-05-24,13,2024-05-24,14,8.79,37.76
15553,1227,163,266,Fes (FEZ),Batha,2024-01-26,7,2024-01-26,8,16.41,64.44
15554,7565,205,69,Laayoune (EUN),Foum El Oued,2024-04-28,14,2024-04-28,15,22.28,84.98
15555,7743,90,9,Laayoune (EUN),Al Wahda,2024-02-08,12,2024-02-08,12,8.53,36.85
15556,1812,257,148,Tangier (TNG),Malabata,2024-05-12,0,2024-05-12,1,17.4,67.9
15557,1190,137,85,Nador (NDR),Beni Ensar,2024-01-09,0,2024-01-09,1,31.16,116.06
15558,1117,73,203,Rabat-Salé (RBA),Hay Riad,2024-05-31,22,2024-05-31,22,13.63,54.71
15559,9679,215,17,Tangier (TNG),Port Tanger Ville,2024-09-27,7,2024-09-27,8,19.77,76.19
15560,5124,247,138,Fes (FEZ),Batha,2024-03-12,12,2024-03-12,12,16.63,65.2
15561,7741,271,247,Agadir (AGA),Taghazout,2024-07-23,22,2024-07-23,23,41.14,150.99
15562,1807,14,169,Marrakech (RAK),Palmeraie,2024-07-11,6,2024-07-11,7,15.16,60.06
15563,8766,136,262,Rabat-Salé (RBA),Hay Riad,2024-04-27,12,2024-04-27,12,13.29,53.52
15564,4988,138,235,Marrakech (RAK),Gueliz,2024-06-23,15,2024-06-23,15,7.81,34.33
15565,8957,22,48,Laayoune (EUN),Al Wahda,2024-03-03,19,2024-03-03,19,11.06,45.71
15566,3342,196,235,Tangier (TNG),Port Tanger Ville,2024-04-28,8,2024-04-28,9,16.16,63.56
15567,5614,202,80,Tangier (TNG),Port Tanger Ville,2024-07-12,0,2024-07-12,0,15.52,61.32
15568,4984,124,237,Fes (FEZ),Saiss district,2024-08-28,14,2024-08-28,14,6.29,29.02
15569,8447,105,165,Oujda (OUD),Al Qods,2024-04-07,22,2024-04-07,23,14.18,56.63
15570,2385,246,14,Nador (NDR),Selouane,2024-04-24,22,2024-04-24,22,11.57,47.5
15571,6953,65,105,Fes (FEZ),Saiss district,2024-09-17,23,2024-09-17,23,3.22,18.27
15572,7283,281,210,Agadir (AGA),Talborjt,2024-01-08,18,2024-01-08,19,24.41,92.44
15573,9213,20,293,Marrakech (RAK),Targa,2024-06-14,11,2024-06-14,11,8.64,37.24
15574,4896,51,207,Laayoune (EUN),Al Wahda,2024-03-03,14,2024-03-03,14,7.5,33.25
15575,3549,162,188,Oujda (OUD),Berkane,2024-09-06,14,2024-09-06,15,56.36,204.26
15576,9234,145,8,Casablanca (CMN),Maarif,2024-05-26,11,2024-05-26,12,27.68,103.88
15577,3213,11,269,Laayoune (EUN),Foum El Oued,2024-07-29,15,2024-07-29,15,19.16,74.06
15578,2701,20,293,Rabat-Salé (RBA),Salé Center,2024-06-10,7,2024-06-10,8,14.77,58.7
15579,3166,226,66,Marrakech (RAK),Medina,2024-03-21,3,2024-03-21,3,5.95,27.82
15580,2646,119,272,Dakhla (VIL),PK25,2024-04-06,5,2024-04-06,6,28.02,105.07
15581,4580,269,145,Fes (FEZ),Batha,2024-07-09,17,2024-07-09,17,16.05,63.18
15582,3815,153,227,Rabat-Salé (RBA),Salé Center,2024-07-23,0,2024-07-23,1,14.15,56.52
15583,5582,70,206,Oujda (OUD),Lazaret,2024-06-11,7,2024-06-11,8,16.84,65.94
15584,5927,33,275,Oujda (OUD),Lazaret,2024-06-25,21,2024-06-25,21,12.35,50.22
15585,4548,158,91,Casablanca (CMN),Maarif,2024-03-07,1,2024-03-07,2,24.76,93.66
15586,4342,166,90,Oujda (OUD),Lazaret,2024-08-26,6,2024-08-26,6,15.87,62.54
15587,9803,49,129,Marrakech (RAK),Gueliz,2024-06-19,8,2024-06-19,8,6.86,31.01
15588,8291,173,190,Tangier (TNG),Gzenaya,2024-07-03,20,2024-07-03,20,6.89,31.12
15589,7990,214,113,Marrakech (RAK),Medina,2024-06-16,7,2024-06-16,7,7.38,32.83
15590,7836,231,190,Marrakech (RAK),Palmeraie,2024-07-24,17,2024-07-24,18,15.14,59.99
15591,4853,192,157,Fes (FEZ),Batha,2024-02-08,0,2024-02-08,1,15.34,60.69
15592,5083,234,255,Tangier (TNG),Malabata,2024-05-01,11,2024-05-01,11,19.91,76.68
15593,758,64,265,Marrakech (RAK),Medina,2024-08-18,18,2024-08-18,18,6.51,29.78
15594,5324,21,9,Marrakech (RAK),Palmeraie,2024-05-11,9,2024-05-11,9,16.31,64.08
15595,991,48,180,Laayoune (EUN),Al Wahda,2024-04-23,4,2024-04-23,5,8.22,35.77
15596,1357,287,216,Rabat-Salé (RBA),Hay Riad,2024-01-15,9,2024-01-15,9,11.76,48.16
15597,7018,237,77,Dakhla (VIL),Port Dakhla,2024-08-24,22,2024-08-24,22,9.03,38.6
15598,9221,36,236,Marrakech (RAK),Medina,2024-07-11,0,2024-07-11,0,4.99,24.46
15599,526,98,89,Tangier (TNG),Cap Spartel,2024-01-28,5,2024-01-28,5,15.15,60.02
15600,1312,113,37,Fes (FEZ),Saiss district,2024-01-07,11,2024-01-07,11,4.99,24.46
15601,4164,102,58,Nador (NDR),Selouane,2024-05-08,7,2024-05-08,8,11.44,47.04
15602,7542,177,95,Agadir (AGA),Taghazout,2024-01-20,12,2024-01-20,13,40.61,149.14
15603,6079,190,59,Casablanca (CMN),Bouskoura,2024-09-12,9,2024-09-12,10,22.45,85.58
15604,6017,125,79,Marrakech (RAK),Palmeraie,2024-09-01,6,2024-09-01,6,16.35,64.23
15605,3158,165,194,Agadir (AGA),Inezgane,2024-04-21,10,2024-04-21,10,18.53,71.86
15606,7112,77,257,Nador (NDR),Beni Ensar,2024-06-25,4,2024-06-25,5,31.35,116.72
15607,6500,203,114,Casablanca (CMN),Anfa,2024-01-01,3,2024-01-01,4,35.18,130.13
15608,6427,68,67,Casablanca (CMN),Mohammedia,2024-02-10,0,2024-02-10,1,25.4,95.9
15609,2508,195,105,Oujda (OUD),Lazaret,2024-01-05,7,2024-01-05,7,14.22,56.77
15610,3474,44,184,Tangier (TNG),Port Tanger Ville,2024-03-03,20,2024-03-03,21,15.81,62.34
15611,2220,249,99,Casablanca (CMN),Bouskoura,2024-04-15,0,2024-04-15,0,15.66,61.81
15612,3347,81,166,Dakhla (VIL),Port Dakhla,2024-04-01,16,2024-04-01,16,6.05,28.18
15613,3947,266,255,Agadir (AGA),Talborjt,2024-04-25,11,2024-04-25,12,27.24,102.34
15614,757,283,254,Casablanca (CMN),Bouskoura,2024-09-18,10,2024-09-18,11,22.95,87.32
15615,4250,43,175,Marrakech (RAK),Targa,2024-04-26,4,2024-04-26,5,11.54,47.39
15616,57,160,81,Dakhla (VIL),PK25,2024-09-30,19,2024-09-30,20,27.31,102.58
15617,4771,238,132,Rabat-Salé (RBA),Agdal,2024-01-16,6,2024-01-16,6,17.55,68.43
15618,9534,21,9,Oujda (OUD),Berkane,2024-03-04,17,2024-03-04,18,62.95,227.32
15619,19,150,229,Laayoune (EUN),Foum El Oued,2024-01-26,14,2024-01-26,14,18.53,71.86
15620,3847,42,220,Laayoune (EUN),Foum El Oued,2024-04-25,4,2024-04-25,4,19.17,74.1
15621,3469,148,72,Casablanca (CMN),Bouskoura,2024-05-07,22,2024-05-07,22,18.35,71.23
15622,6501,122,208,Dakhla (VIL),PK25,2024-07-28,8,2024-07-28,8,25.86,97.51
15623,4553,197,89,Rabat-Salé (RBA),Salé Center,2024-01-24,5,2024-01-24,5,10.41,43.44
15624,8881,151,37,Rabat-Salé (RBA),Hay Riad,2024-09-16,11,2024-09-16,12,16.8,65.8
15625,8008,161,288,Rabat-Salé (RBA),Salé Center,2024-09-10,5,2024-09-10,5,13.47,54.14
15626,9910,210,16,Marrakech (RAK),Medina,2024-07-26,6,2024-07-26,6,4.86,24.01
15627,6366,95,240,Tangier (TNG),Cap Spartel,2024-08-27,23,2024-08-28,0,20.27,77.94
15628,4895,257,148,Rabat-Salé (RBA),Agdal,2024-05-22,23,2024-05-23,0,15.33,60.66
15629,6591,16,287,Rabat-Salé (RBA),Hay Riad,2024-03-31,23,2024-04-01,0,16.13,63.46
15630,8222,255,51,Tangier (TNG),Cap Spartel,2024-05-09,0,2024-05-09,1,19.6,75.6
15631,3608,246,14,Casablanca (CMN),Mohammedia,2024-09-07,15,2024-09-07,16,26.55,99.92
15632,1930,95,240,Fes (FEZ),Saiss district,2024-05-07,15,2024-05-07,15,5.48,26.18
15633,3532,33,275,Nador (NDR),Selouane,2024-04-03,1,2024-04-03,2,12.67,51.34
15634,3356,152,204,Marrakech (RAK),Gueliz,2024-02-07,18,2024-02-07,19,5.68,26.88
15635,933,262,186,Laayoune (EUN),Al Wahda,2024-09-20,10,2024-09-20,10,10.62,44.17
15636,1371,35,141,Fes (FEZ),Saiss district,2024-07-15,18,2024-07-15,18,5.01,24.54
15637,6759,240,266,Tangier (TNG),Malabata,2024-02-23,2,2024-02-23,3,18.86,73.01
15638,714,12,84,Laayoune (EUN),Foum El Oued,2024-04-25,19,2024-04-25,20,20.15,77.52
15639,7384,179,9,Nador (NDR),Beni Ensar,2024-03-08,3,2024-03-08,4,25.23,95.3
15640,5889,31,138,Oujda (OUD),Berkane,2024-07-11,21,2024-07-11,23,59.63,215.7
15641,9467,174,144,Casablanca (CMN),Mohammedia,2024-06-28,20,2024-06-28,20,27.63,103.7
15642,9985,43,175,Casablanca (CMN),Anfa,2024-05-04,23,2024-05-05,0,35.06,129.71
15643,9673,276,115,Marrakech (RAK),Targa,2024-04-03,22,2024-04-03,23,12.84,51.94
15644,338,256,108,Tangier (TNG),Malabata,2024-02-11,4,2024-02-11,4,12.58,51.03
15645,3716,182,151,Fes (FEZ),Ville Nouvelle,2024-09-27,14,2024-09-27,14,15.9,62.65
15646,2786,127,52,Casablanca (CMN),Mohammedia,2024-09-06,18,2024-09-06,19,29.5,110.25
15647,8623,194,68,Casablanca (CMN),Maarif,2024-07-24,14,2024-07-24,15,30.28,112.98
15648,3049,262,186,Nador (NDR),Beni Ensar,2024-05-23,4,2024-05-23,5,26.21,98.74
15649,9303,261,42,Rabat-Salé (RBA),Temara,2024-07-12,18,2024-07-12,19,23.82,90.37
15650,4568,260,201,Marrakech (RAK),Palmeraie,2024-03-22,23,2024-03-23,0,15.92,62.72
15651,5548,52,148,Marrakech (RAK),Medina,2024-06-27,13,2024-06-27,13,7.8,34.3
15652,7714,172,238,Oujda (OUD),Lazaret,2024-01-15,13,2024-01-15,13,17.02,66.57
15653,5857,57,145,Casablanca (CMN),Mohammedia,2024-01-17,17,2024-01-17,18,27.76,104.16
15654,4020,195,105,Agadir (AGA),Ait Melloul,2024-09-01,6,2024-09-01,7,16.0,63.0
15655,1923,26,171,Nador (NDR),Selouane,2024-02-14,4,2024-02-14,4,10.45,43.58
15656,7804,284,271,Casablanca (CMN),Bouskoura,2024-03-18,19,2024-03-18,20,24.53,92.86
15657,8970,86,3,Laayoune (EUN),Foum El Oued,2024-02-28,13,2024-02-28,14,18.5,71.75
15658,4571,44,184,Casablanca (CMN),Maarif,2024-03-04,17,2024-03-04,18,24.33,92.16
15659,9379,46,95,Fes (FEZ),Saiss district,2024-07-03,14,2024-07-03,14,3.48,19.18
15660,8654,157,283,Casablanca (CMN),Maarif,2024-08-13,22,2024-08-13,23,30.17,112.6
15661,3222,181,236,Marrakech (RAK),Gueliz,2024-02-13,16,2024-02-13,16,8.18,35.63
15662,164,102,58,Oujda (OUD),Berkane,2024-07-20,7,2024-07-20,8,57.02,206.57
15663,6165,62,283,Tangier (TNG),Port Tanger Ville,2024-09-03,5,2024-09-03,5,15.58,61.53
15664,2663,112,37,Oujda (OUD),Berkane,2024-04-11,3,2024-04-11,4,59.27,214.45
15665,4255,297,40,Marrakech (RAK),Gueliz,2024-02-13,17,2024-02-13,17,5.54,26.39
15666,9827,79,126,Casablanca (CMN),Bouskoura,2024-08-19,15,2024-08-19,15,18.33,71.16
15667,8286,291,241,Casablanca (CMN),Bouskoura,2024-05-07,17,2024-05-07,17,18.46,71.61
15668,3422,182,151,Marrakech (RAK),Palmeraie,2024-02-06,16,2024-02-06,17,14.09,56.32
15669,2347,16,287,Casablanca (CMN),Maarif,2024-03-12,4,2024-03-12,4,27.33,102.66
15670,5071,268,229,Oujda (OUD),Lazaret,2024-01-19,20,2024-01-19,20,14.26,56.91
15671,3719,188,100,Rabat-Salé (RBA),Temara,2024-06-29,3,2024-06-29,4,20.64,79.24
15672,5397,297,40,Agadir (AGA),Talborjt,2024-07-23,4,2024-07-23,5,20.03,77.1
15673,4608,89,172,Fes (FEZ),Ville Nouvelle,2024-03-11,14,2024-03-11,15,12.98,52.43
15674,2124,249,99,Casablanca (CMN),Anfa,2024-08-01,10,2024-08-01,11,37.67,138.84
15675,2162,260,201,Fes (FEZ),Ville Nouvelle,2024-04-05,13,2024-04-05,13,13.83,55.4
15676,1032,25,226,Nador (NDR),Beni Ensar,2024-05-09,17,2024-05-09,17,27.51,103.29
15677,1970,63,274,Rabat-Salé (RBA),Salé Center,2024-06-15,12,2024-06-15,12,14.36,57.26
15678,5263,131,2,Dakhla (VIL),PK25,2024-05-03,4,2024-05-03,5,26.09,98.32
15679,1304,107,247,Marrakech (RAK),Gueliz,2024-01-13,3,2024-01-13,4,8.62,37.17
15680,7918,293,201,Nador (NDR),Selouane,2024-02-21,0,2024-02-21,1,10.48,43.68
15681,1635,187,265,Nador (NDR),Beni Ensar,2024-09-08,16,2024-09-08,17,30.99,115.46
15682,8377,160,81,Laayoune (EUN),Foum El Oued,2024-07-20,20,2024-07-20,20,21.07,80.74
15683,4170,113,37,Tangier (TNG),Cap Spartel,2024-01-10,16,2024-01-10,17,20.93,80.26
15684,5731,6,45,Casablanca (CMN),Anfa,2024-06-18,23,2024-06-19,0,34.5,127.75
15685,9104,221,49,Oujda (OUD),Lazaret,2024-06-28,22,2024-06-28,22,14.16,56.56
15686,3700,129,283,Casablanca (CMN),Mohammedia,2024-08-12,6,2024-08-12,7,32.4,120.4
15687,5725,65,105,Agadir (AGA),Talborjt,2024-09-17,21,2024-09-17,22,23.51,89.29
15688,2616,214,113,Marrakech (RAK),Gueliz,2024-03-16,16,2024-03-16,16,5.23,25.3
15689,2479,160,81,Casablanca (CMN),Anfa,2024-05-04,11,2024-05-04,12,35.62,131.67
15690,990,221,49,Casablanca (CMN),Mohammedia,2024-05-18,1,2024-05-18,1,25.88,97.58
15691,1277,47,292,Oujda (OUD),Berkane,2024-04-18,18,2024-04-18,20,63.64,229.74
15692,2576,17,80,Casablanca (CMN),Mohammedia,2024-02-11,14,2024-02-11,15,34.86,129.01
15693,9751,269,145,Rabat-Salé (RBA),Salé Center,2024-04-12,19,2024-04-12,20,9.88,41.58
15694,5769,175,126,Rabat-Salé (RBA),Salé Center,2024-04-18,5,2024-04-18,5,12.36,50.26
15695,5172,156,106,Agadir (AGA),Talborjt,2024-07-16,9,2024-07-16,10,23.39,88.86
15696,7399,89,172,Tangier (TNG),Gzenaya,2024-04-17,22,2024-04-17,22,10.01,42.04
15697,2286,114,264,Tangier (TNG),Gzenaya,2024-08-05,20,2024-08-05,20,5.62,26.67
15698,1873,64,265,Agadir (AGA),Talborjt,2024-02-11,7,2024-02-11,7,22.35,85.22
15699,1399,96,74,Agadir (AGA),Inezgane,2024-01-15,2,2024-01-15,2,17.21,67.24
15700,2067,159,179,Marrakech (RAK),Palmeraie,2024-04-01,12,2024-04-01,13,14.21,56.74
15701,5926,95,240,Rabat-Salé (RBA),Agdal,2024-06-04,21,2024-06-04,21,14.28,56.98
15702,2796,122,208,Fes (FEZ),Saiss district,2024-04-25,7,2024-04-25,7,6.13,28.46
15703,8815,16,287,Rabat-Salé (RBA),Hay Riad,2024-01-12,6,2024-01-12,6,12.46,50.61
15704,9347,285,253,Dakhla (VIL),Port Dakhla,2024-07-05,4,2024-07-05,4,5.32,25.62
15705,1383,135,279,Nador (NDR),Beni Ensar,2024-03-13,21,2024-03-13,22,28.35,106.22
15706,1538,5,138,Laayoune (EUN),Al Wahda,2024-09-24,7,2024-09-24,7,5.7,26.95
15707,8297,109,29,Marrakech (RAK),Gueliz,2024-05-03,6,2024-05-03,7,8.37,36.3
15708,7105,116,45,Casablanca (CMN),Anfa,2024-01-13,2,2024-01-13,3,33.4,123.9
15709,7360,141,203,Marrakech (RAK),Gueliz,2024-09-11,11,2024-09-11,11,7.82,34.37
15710,702,75,132,Casablanca (CMN),Bouskoura,2024-03-05,6,2024-03-05,6,16.81,65.83
15711,2349,254,235,Tangier (TNG),Malabata,2024-06-02,4,2024-06-02,5,13.59,54.56
15712,816,12,84,Tangier (TNG),Malabata,2024-05-05,11,2024-05-05,12,18.56,71.96
15713,1772,28,289,Agadir (AGA),Talborjt,2024-08-31,14,2024-08-31,15,27.31,102.58
15714,6201,23,290,Fes (FEZ),Saiss district,2024-03-30,2,2024-03-30,3,3.82,20.37
15715,5570,80,274,Agadir (AGA),Ait Melloul,2024-07-21,23,2024-07-21,23,16.92,66.22
15716,4430,254,235,Dakhla (VIL),PK25,2024-04-17,7,2024-04-17,8,27.26,102.41
15717,6441,63,274,Laayoune (EUN),Al Wahda,2024-05-03,23,2024-05-03,23,8.62,37.17
15718,4251,20,293,Rabat-Salé (RBA),Agdal,2024-03-12,1,2024-03-12,2,14.04,56.14
15719,2118,234,255,Tangier (TNG),Gzenaya,2024-07-28,23,2024-07-28,23,6.47,29.64
15720,4278,123,39,Casablanca (CMN),Mohammedia,2024-05-20,10,2024-05-20,10,30.53,113.86
15721,3875,64,265,Dakhla (VIL),Port Dakhla,2024-03-30,8,2024-03-30,8,6.2,28.7
15722,9892,4,49,Casablanca (CMN),Bouskoura,2024-04-09,9,2024-04-09,10,18.08,70.28
15723,5436,238,132,Fes (FEZ),Saiss district,2024-06-09,4,2024-06-09,4,5.33,25.66
15724,8698,14,169,Oujda (OUD),Lazaret,2024-08-05,11,2024-08-05,11,16.7,65.45
15725,4781,169,148,Rabat-Salé (RBA),Salé Center,2024-02-14,9,2024-02-14,10,12.2,49.7
15726,6788,110,261,Tangier (TNG),Cap Spartel,2024-05-18,11,2024-05-18,12,21.11,80.88
15727,2897,125,79,Rabat-Salé (RBA),Agdal,2024-02-21,15,2024-02-21,16,13.32,53.62
15728,2580,171,266,Rabat-Salé (RBA),Temara,2024-03-22,5,2024-03-22,6,23.77,90.2
15729,1002,218,211,Tangier (TNG),Gzenaya,2024-03-12,22,2024-03-12,22,7.25,32.38
15730,87,177,95,Marrakech (RAK),Palmeraie,2024-08-21,12,2024-08-21,12,17.75,69.12
15731,4542,123,39,Oujda (OUD),Al Qods,2024-03-12,22,2024-03-12,23,12.3,50.05
15732,6711,18,142,Oujda (OUD),Al Qods,2024-08-22,21,2024-08-22,21,11.85,48.48
15733,8569,89,172,Fes (FEZ),Ville Nouvelle,2024-02-04,15,2024-02-04,16,14.34,57.19
15734,163,261,42,Oujda (OUD),Al Qods,2024-09-28,7,2024-09-28,7,14.29,57.02
15735,6158,266,255,Casablanca (CMN),Bouskoura,2024-08-23,17,2024-08-23,18,22.54,85.89
15736,9870,146,44,Marrakech (RAK),Palmeraie,2024-06-24,5,2024-06-24,5,17.86,69.51
15737,8067,235,233,Fes (FEZ),Batha,2024-01-07,4,2024-01-07,4,18.59,72.06
15738,8910,88,270,Fes (FEZ),Ville Nouvelle,2024-02-14,8,2024-02-14,8,15.27,60.44
15739,4259,153,227,Agadir (AGA),Talborjt,2024-09-08,14,2024-09-08,14,24.66,93.31
15740,6752,80,274,Laayoune (EUN),Foum El Oued,2024-03-27,3,2024-03-27,4,22.23,84.8
15741,2238,72,110,Fes (FEZ),Saiss district,2024-07-30,5,2024-07-30,6,4.26,21.91
15742,44,182,151,Nador (NDR),Beni Ensar,2024-09-17,14,2024-09-17,14,25.21,95.24
15743,1700,75,132,Dakhla (VIL),PK25,2024-08-01,11,2024-08-01,11,29.64,110.74
15744,6714,4,49,Marrakech (RAK),Medina,2024-03-18,3,2024-03-18,3,7.91,34.68
15745,3553,20,293,Marrakech (RAK),Gueliz,2024-08-31,11,2024-08-31,11,5.02,24.57
15746,5165,206,101,Oujda (OUD),Lazaret,2024-06-06,10,2024-06-06,10,14.06,56.21
15747,6991,181,236,Rabat-Salé (RBA),Hay Riad,2024-07-21,3,2024-07-21,3,10.47,43.64
15748,2714,254,235,Rabat-Salé (RBA),Salé Center,2024-02-13,21,2024-02-13,21,12.31,50.08
15749,432,9,176,Tangier (TNG),Malabata,2024-08-24,19,2024-08-24,19,15.14,59.99
15750,4713,282,121,Marrakech (RAK),Palmeraie,2024-09-05,6,2024-09-05,6,16.6,65.1
15751,9421,95,240,Tangier (TNG),Cap Spartel,2024-02-28,13,2024-02-28,14,21.1,80.85
15752,1818,160,81,Oujda (OUD),Berkane,2024-10-03,16,2024-10-03,18,63.09,227.82
15753,3004,254,235,Fes (FEZ),Ville Nouvelle,2024-09-20,18,2024-09-20,18,12.64,51.24
15754,7515,234,255,Fes (FEZ),Ville Nouvelle,2024-01-21,19,2024-01-21,19,12.73,51.56
15755,287,273,30,Agadir (AGA),Taghazout,2024-03-13,22,2024-03-13,23,38.26,140.91
15756,8491,238,132,Marrakech (RAK),Targa,2024-08-09,4,2024-08-09,4,12.38,50.33
15757,3577,152,204,Rabat-Salé (RBA),Temara,2024-06-13,9,2024-06-13,9,21.06,80.71
15758,1268,287,216,Marrakech (RAK),Gueliz,2024-08-02,20,2024-08-02,20,5.82,27.37
15759,5015,257,148,Dakhla (VIL),Port Dakhla,2024-04-29,1,2024-04-29,1,8.14,35.49
15760,6303,291,241,Casablanca (CMN),Mohammedia,2024-05-04,4,2024-05-04,5,26.52,99.82
15761,4685,170,242,Laayoune (EUN),Al Wahda,2024-05-13,17,2024-05-13,17,9.96,41.86
15762,4551,266,255,Tangier (TNG),Malabata,2024-02-22,17,2024-02-22,18,12.48,50.68
15763,6110,25,226,Oujda (OUD),Al Qods,2024-06-30,0,2024-06-30,0,11.7,47.95
15764,7787,225,138,Oujda (OUD),Lazaret,2024-04-07,8,2024-04-07,8,17.04,66.64
15765,3580,243,82,Fes (FEZ),Saiss district,2024-01-29,10,2024-01-29,10,5.66,26.81
15766,8149,110,261,Tangier (TNG),Gzenaya,2024-09-22,20,2024-09-22,20,9.58,40.53
15767,4422,78,215,Laayoune (EUN),Al Wahda,2024-07-28,20,2024-07-28,20,8.51,36.78
15768,8298,258,20,Marrakech (RAK),Palmeraie,2024-05-28,9,2024-05-28,9,17.4,67.9
15769,9158,289,161,Nador (NDR),Beni Ensar,2024-03-14,5,2024-03-14,6,28.54,106.89
15770,3049,246,14,Dakhla (VIL),PK25,2024-08-01,23,2024-08-01,23,26.14,98.49
15771,4472,257,148,Marrakech (RAK),Gueliz,2024-05-03,15,2024-05-03,15,8.37,36.3
15772,9633,108,252,Dakhla (VIL),Port Dakhla,2024-08-24,23,2024-08-24,23,8.64,37.24
15773,266,64,265,Tangier (TNG),Gzenaya,2024-05-14,6,2024-05-14,7,9.87,41.54
15774,9951,144,40,Laayoune (EUN),Al Wahda,2024-01-04,10,2024-01-04,11,11.43,47.0
15775,3350,273,30,Oujda (OUD),Berkane,2024-01-21,11,2024-01-21,13,61.9,223.65
15776,1600,209,142,Dakhla (VIL),Port Dakhla,2024-05-14,22,2024-05-14,22,7.16,32.06
15777,6162,232,133,Casablanca (CMN),Anfa,2024-02-02,16,2024-02-02,17,37.26,137.41
15778,7733,5,138,Oujda (OUD),Berkane,2024-02-05,1,2024-02-05,3,56.76,205.66
15779,2785,33,275,Marrakech (RAK),Gueliz,2024-05-07,0,2024-05-07,0,9.73,41.06
15780,6827,208,146,Casablanca (CMN),Mohammedia,2024-08-16,17,2024-08-16,17,31.27,116.44
15781,4156,124,237,Laayoune (EUN),Al Wahda,2024-04-04,11,2024-04-04,11,11.74,48.09
15782,3816,242,248,Laayoune (EUN),Foum El Oued,2024-02-11,14,2024-02-11,15,24.34,92.19
15783,7790,200,12,Laayoune (EUN),Foum El Oued,2024-02-29,17,2024-02-29,17,24.07,91.24
15784,6667,132,221,Oujda (OUD),Berkane,2024-01-18,12,2024-01-18,13,57.55,208.42
15785,3997,242,248,Rabat-Salé (RBA),Agdal,2024-02-07,21,2024-02-07,21,17.26,67.41
15786,9509,55,145,Tangier (TNG),Malabata,2024-05-29,18,2024-05-29,18,16.96,66.36
15787,9280,26,171,Fes (FEZ),Batha,2024-07-18,12,2024-07-18,13,19.9,76.65
15788,3434,203,114,Fes (FEZ),Saiss district,2024-09-11,2,2024-09-11,2,4.07,21.24
15789,2759,103,165,Nador (NDR),Selouane,2024-06-21,1,2024-06-21,2,10.22,42.77
